Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 964 vertices, 1446 indices, and 1 collision shape
Chunk generated with 1064 vertices, 1596 indices, and 1 collision shape
Chunk generated with 872 vertices, 1308 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 760 vertices, 1140 indices, and 1 collision shape
Chunk generated with 1156 vertices, 1734 indices, and 1 collision shape
Chunk generated with 912 vertices, 1368 indices, and 1 collision shape
Chunk generated with 960 vertices, 1440 indices, and 1 collision shape
Chunk generated with 944 vertices, 1416 indices, and 1 collision shape
Chunk generated with 748 vertices, 1122 indices, and 1 collision shape
Chunk generated with 740 vertices, 1110 indices, and 1 collision shape
Chunk generated with 884 vertices, 1326 indices, and 1 collision shape
Chunk generated with 896 vertices, 1344 indices, and 1 collision shape
Chunk generated with 720 vertices, 1080 indices, and 1 collision shape
Chunk generated with 732 vertices, 1098 indices, and 1 collision shape
Chunk generated with 836 vertices, 1254 indices, and 1 collision shape
Chunk generated with 1004 vertices, 1506 indices, and 1 collision shape
Chunk generated with 784 vertices, 1176 indices, and 1 collision shape
Chunk generated with 904 vertices, 1356 indices, and 1 collision shape
Chunk generated with 800 vertices, 1200 indices, and 1 collision shape
Chunk generated with 960 vertices, 1440 indices, and 1 collision shape
Chunk generated with 852 vertices, 1278 indices, and 1 collision shape
Chunk generated with 964 vertices, 1446 indices, and 1 collision shape
Chunk generated with 1124 vertices, 1686 indices, and 1 collision shape
Chunk generated with 884 vertices, 1326 indices, and 1 collision shape
Chunk generated with 748 vertices, 1122 indices, and 1 collision shape
Chunk generated with 708 vertices, 1062 indices, and 1 collision shape
Chunk generated with 864 vertices, 1296 indices, and 1 collision shape
Chunk generated with 788 vertices, 1182 indices, and 1 collision shape
Chunk generated with 956 vertices, 1434 indices, and 1 collision shape
Chunk generated with 852 vertices, 1278 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
Chunk generated with 660 vertices, 990 indices, and 1 collision shape
Chunk generated with 744 vertices, 1116 indices, and 1 collision shape
Chunk generated with 864 vertices, 1296 indices, and 1 collision shape
Chunk generated with 852 vertices, 1278 indices, and 1 collision shape
Chunk generated with 752 vertices, 1128 indices, and 1 collision shape
Chunk generated with 776 vertices, 1164 indices, and 1 collision shape
Chunk generated with 652 vertices, 978 indices, and 1 collision shape
Chunk generated with 896 vertices, 1344 indices, and 1 collision shape
Chunk generated with 620 vertices, 930 indices, and 1 collision shape
Chunk generated with 716 vertices, 1074 indices, and 1 collision shape
Chunk generated with 884 vertices, 1326 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 900 vertices, 1350 indices, and 1 collision shape
Chunk generated with 880 vertices, 1320 indices, and 1 collision shape
Chunk generated with 692 vertices, 1038 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 876 vertices, 1314 indices, and 1 collision shape
Chunk generated with 904 vertices, 1356 indices, and 1 collision shape
Chunk generated with 992 vertices, 1488 indices, and 1 collision shape
Chunk generated with 936 vertices, 1404 indices, and 1 collision shape
Chunk generated with 928 vertices, 1392 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 1108 vertices, 1662 indices, and 1 collision shape
Chunk generated with 868 vertices, 1302 indices, and 1 collision shape
Chunk generated with 876 vertices, 1314 indices, and 1 collision shape
Chunk generated with 708 vertices, 1062 indices, and 1 collision shape
Chunk generated with 912 vertices, 1368 indices, and 1 collision shape
Chunk generated with 852 vertices, 1278 indices, and 1 collision shape
Chunk generated with 1028 vertices, 1542 indices, and 1 collision shape
Chunk generated with 796 vertices, 1194 indices, and 1 collision shape
Chunk generated with 620 vertices, 930 indices, and 1 collision shape
Chunk generated with 616 vertices, 924 indices, and 1 collision shape
Chunk generated with 924 vertices, 1386 indices, and 1 collision shape
Chunk generated with 820 vertices, 1230 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
